Time,CH1,CH2
0.000000,8.8299,-0.0195
0.000010,1.3633,-0.1030
0.000020,12.7552,0.0474
0.000030,2.9836,-0.0863
0.000040,5.6729,-0.0362
0.000050,9.4479,-0.0028
0.000060,1.1294,-0.1030
0.000070,12.7218,0.0474
0.000080,3.3844,-0.0696
0.000090,6.3911,-0.0362
0.000100,10.5336,0.0139
0.000110,0.9457,-0.1030
0.000120,12.2708,0.0306
0.000130,4.4368,-0.0863
0.000140,5.4891,-0.0529
0.000150,11.2853,0.0139
0.000160,0.9958,-0.1197
0.000170,11.1684,0.0306
0.000180,5.1550,-0.0696
0.000190,5.2887,-0.0362
0.000200,11.7530,0.0139
0.000210,1.3800,-0.1030
0.000220,9.4479,-0.0195
0.000230,6.1406,-0.0529
0.000240,2.5326,-0.0863
0.000250,11.9535,0.0306
0.000260,1.3132,-0.1197
0.000270,8.6461,-0.0195
0.000280,7.1595,-0.0195
0.000290,3.7185,-0.0696
0.000300,12.7051,0.0474
0.000310,1.4802,-0.1030
0.000320,9.4813,-0.0195
0.000330,7.3933,-0.0195
0.000340,2.3321,-0.0863
0.000350,12.5548,0.0306
0.000360,1.9479,-0.1197
0.000370,7.3098,-0.0195
0.000380,8.7463,-0.0195
0.000390,1.5637,-0.1030
0.000400,12.5548,0.0474
0.000410,2.5158,-0.0863
0.000420,7.2096,-0.0195
0.000430,8.6127,-0.0195
0.000440,1.2130,-0.1197
0.000450,11.0682,0.0306
0.000460,3.2174,-0.0696
0.000470,6.3410,-0.0362
0.000480,9.8321,0.0139
0.000490,1.3967,-0.1030
0.000500,12.6383,0.0306
0.000510,3.5348,-0.0696
0.000520,5.7731,-0.0529
0.000530,10.2998,0.0139
0.000540,1.3132,-0.1030
0.000550,12.3710,0.0474
0.000560,4.4034,-0.0696
0.000570,4.3199,-0.0696
0.000580,11.4523,0.0306
0.000590,0.9457,-0.1030
0.000600,10.1829,0.0139
0.000610,5.4557,-0.0529
0.000620,2.7497,-0.0696
0.000630,11.9869,0.0306
0.000640,1.2631,-0.0863
0.000650,8.7630,-0.0028
0.000660,7.0259,-0.0362
0.000670,1.6306,-0.0863
0.000680,11.5860,0.0306
0.000690,1.3299,-0.1030
0.000700,9.0637,0.0139
0.000710,7.1428,-0.0362
0.000720,3.3343,-0.0696
0.000730,12.4546,0.0474
0.000740,2.0816,-0.1030
0.000750,7.1762,-0.0195
0.000760,9.3811,-0.0028
0.000770,1.3800,-0.0863
0.000780,12.7218,0.0474
0.000790,2.8666,-0.1030
0.000800,7.9613,-0.0195
0.000810,8.9802,-0.0195
0.000820,1.1461,-0.1030
0.000830,12.4212,0.0474
0.000840,2.5660,-0.0863
0.000850,6.5581,-0.0362
0.000860,10.1327,0.0139
